sample_id,text,merged_entities,gold_struct,candidates_final
196,aspects that could be improved are availability. what they do well is crisis services.,"[{'start': 0, 'end': 48, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}, {'start': 49, 'end': 86, 'aspects': ['Hotline Service'], 'sentiments': ['Positive'], 'raw_labels': ['Hotline Service - Positive', 'Hotline Service - Positive', 'Hotline Service - Positive']}]","{'aspect_set': ['Hotline Service', 'Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 48]}]}, 'Hotline Service': {'label': 'Positive', 'evidence': [{'span': [49, 86]}]}}}","[""Hotline Service"", ""Service Availability""]"
197,"caps is a joke. they are difficult to get an appointment with, don't prescribe the medications i need, and don't care when i am struggling.","[{'start': 0, 'end': 15, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['On-campus Service - Negative', 'Counseling Service - Negative', 'Counseling Service - Negative']}, {'start': 16, 'end': 61, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Negative', 'Service Availability - Negative']}, {'start': 63, 'end': 139, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Negative', 'Therapy Service - Negative']}]","{'aspect_set': ['Counseling Service', 'Service Availability', 'Therapy Service'], 'by_aspect': {'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [0, 15]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [16, 61]}]}, 'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [63, 139]}]}}}","[""Counseling Service"", ""Service Availability"", ""Therapy Service""]"
198,caps is an option that is good for students but it is limited in the help it can provide.,"[{'start': 0, 'end': 43, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 44, 'end': 89, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Counseling Service - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['Counseling Service', 'Service Availability'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 43]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [44, 89]}]}}}","[""Counseling Service"", ""Service Availability""]"
200,they have a good group of therapists. but they don’t provide a ton of different areas of specialty. ,"[{'start': 0, 'end': 37, 'aspects': ['Therapy Service'], 'sentiments': ['Positive'], 'raw_labels': ['Therapy Service - Positive', 'Therapy Service - Positive', 'Therapy Service - Positive']}, {'start': 38, 'end': 100, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Negative', 'Therapy Service - Limitation', 'Therapy Service - Limitation']}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'MIXED', 'evidence': [{'span': [0, 37]}, {'span': [38, 100]}]}}}","[""Therapy Service""]"
201,i think they need to do a better job advertising mental health services,"[{'start': 0, 'end': 71, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Mental Health Service - Limitation', 'On-campus Service - Suggestion']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 71]}]}}}","[""Mental Health Service""]"
202,"the let's talk hours are a good method of getting support when you haven't planned ahead, but can sometimes be busy enough that you can't get a chance to speak with a therapist. with the high demand for mental health support, it's just hard to schedule an appointment and find a time that works. having more counseling staff would be great. ","[{'start': 0, 'end': 89, 'aspects': [], 'sentiments': [], 'raw_labels': ['On-campus Service - Positive', 'Mental Health Service - Positive', 'Wellness Service - Positive']}, {'start': 90, 'end': 177, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}, {'start': 178, 'end': 340, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}, {'start': 296, 'end': 341, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Limitation', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [90, 177]}, {'span': [178, 340]}]}}}","[""Service Availability""]"
203,"i like group therapies a lot, but we need more resources for getting help for serious mental illnesses.","[{'start': 0, 'end': 28, 'aspects': ['Therapy Service'], 'sentiments': ['Positive'], 'raw_labels': ['Therapy Service - Positive', 'Therapy Service - Positive', 'On-campus Service - Positive']}, {'start': 30, 'end': 103, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Therapy Service - Limitation', 'Therapy Service - Suggestion']}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'MIXED', 'evidence': [{'span': [0, 28]}, {'span': [30, 103]}]}}}","[""Therapy Service""]"
204,more attention to anonymous survey or check in with students so they can receive advice what they can do about it,"[{'start': 0, 'end': 113, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['General - Suggestion', 'Mental Health Service - Limitation', 'Mental Health Service - Suggestion']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 113]}]}}}","[""Mental Health Service""]"
205,drop-in counselling is not bad. student disability services are fairly accessible as well. it would be nice if counselling was a little easier to understand how to get. ,"[{'start': 0, 'end': 31, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 32, 'end': 90, 'aspects': [], 'sentiments': [], 'raw_labels': ['Wellness Service - Positive', 'General - Neutral', 'On-campus Service - Positive']}, {'start': 91, 'end': 169, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Counseling Service - Suggestion']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'MIXED', 'evidence': [{'span': [0, 31]}, {'span': [91, 169]}]}}}","[""Counseling Service""]"
206,"i have not personally used these services, but i see advertisements for them throughout the campus and assume these services do a good job","[{'start': 47, 'end': 138, 'aspects': ['General'], 'sentiments': ['Positive'], 'raw_label': 'General - Positive'}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Positive', 'evidence': [{'span': [47, 138]}]}}}","[""General""]"
207,"while it’s not talked about much in ways such as emails, professors often provide links to learn so i appreciate that.","[{'start': 57, 'end': 118, 'aspects': ['General'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'General - Positive', 'On-campus Service - Positive']}, {'start': 0, 'end': 55, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Limitation', 'On-campus Service - Negative']}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Positive', 'evidence': [{'span': [57, 118]}]}}}","[""General""]"
208,from my experience everything is working well. i think they would benefit from having more people staffed to help the students.,"[{'start': 0, 'end': 46, 'aspects': ['General'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'General - Positive', 'On-campus Service - Positive']}, {'start': 47, 'end': 127, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['General', 'Service Availability'], 'by_aspect': {'General': {'label': 'Positive', 'evidence': [{'span': [0, 46]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [47, 127]}]}}}","[""General"", ""Service Availability""]"
209,i mean we have a counseling center which i guess is something but we are severely understaffed and it's very difficult to get an appointment during hours and impossible after business hours so you better not have any problems on the weekends i guess.,"[{'start': 0, 'end': 250, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Limitation']}, {'start': 0, 'end': 61, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Neutral', 'Counseling Service - Positive']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 250]}]}}}","[""Service Availability""]"
210,"when someone needs assistance, i want my college to focus on making sure that person receives the help they need. follow up is not the best. ","[{'start': 0, 'end': 139, 'aspects': ['On-campus Service'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'On-campus Service - Suggestion', 'On-campus Service - Suggestion']}, {'start': 114, 'end': 140, 'aspects': [], 'sentiments': [], 'raw_labels': ['Wellness Service - Negative', 'Counseling Service - Limitation']}]","{'aspect_set': ['On-campus Service'], 'by_aspect': {'On-campus Service': {'label': 'Negative', 'evidence': [{'span': [0, 139]}]}}}","[""On-campus Service""]"
211,i think there should be more awareness and encouragement made for the resources. ,"[{'start': 0, 'end': 80, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Suggestion'}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Negative', 'evidence': [{'span': [0, 80]}]}}}","[""General""]"
212,the referral process works well but it should be even easier and there should be less wait time. ,"[{'start': 0, 'end': 32, 'aspects': [], 'sentiments': [], 'raw_labels': ['On-campus Service - Positive', 'Counseling Service - Positive']}, {'start': 0, 'end': 97, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Suggestion', 'On-campus Service - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 97]}]}}}","[""Service Availability""]"
213,i would like more on-campus assistance regarding the diagnosis of mental illness or learning disabilities. i'm currently in the process of seeking a diagnosis and i wish there was more support on campus.,"[{'start': 0, 'end': 106, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Suggestion', 'Mental Health Service - Suggestion', 'Therapy Service - Suggestion']}, {'start': 107, 'end': 203, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Limitation', 'On-campus Service - Suggestion']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 106]}]}}}","[""Mental Health Service""]"
214,"i tried reaching out to campus mental health service online last semester, which was when i needed the most help but didnt get reply till now. so now i just tried to not rely on them and help myself","[{'start': 0, 'end': 197, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Mental Health Service - Negative', 'Counseling Service - Limitation']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 197]}]}}}","[""Mental Health Service""]"
215,the undocumented student program runs individual and group sessions which supplements the times when you don't have an individual appointment. i think more staff should be hired so that they can reach more students on time. ,"[{'start': 0, 'end': 142, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 143, 'end': 224, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Counseling Service', 'Service Availability'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 142]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [143, 224]}]}}}","[""Counseling Service"", ""Service Availability""]"
216,"i don't have an answer to the first question but for the second i think awareness of social factors' impact on mental health desperately needs to be addressed because mental health struggles are very different between financially secure straight white people vs. people of color, immigrants, poor people, lgbtq, etc. groups","[{'start': 64, 'end': 158, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Suggestion'}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [64, 158]}]}}}","[""Mental Health Service""]"
217,there are some resources but i don’t really have time to interact with them nor do i want to. my professors high expectations stress me out the most,"[{'start': 0, 'end': 148, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['General - Neutral', 'General - Limitation', 'General - Limitation']}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Negative', 'evidence': [{'span': [0, 148]}]}}}","[""General""]"
218,i'm a oss student thus i do get more additional help from my disability and its has more a help tool and assistance in my college life,"[{'start': 0, 'end': 134, 'aspects': ['Wellness Service'], 'sentiments': ['Positive'], 'raw_labels': ['Wellness Service - Positive', 'Wellness Service - Positive', 'Mental Health Service - Positive']}]","{'aspect_set': ['Wellness Service'], 'by_aspect': {'Wellness Service': {'label': 'Positive', 'evidence': [{'span': [0, 134]}]}}}","[""Wellness Service""]"
219,i didn’t know there were mental health services provided by laredo college ,"[{'start': 0, 'end': 75, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Mental Health Service - Limitation', 'On-campus Service - Negative']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 75]}]}}}","[""Mental Health Service""]"
220,i’d say they just need to be more easily accessible and open to students.,"[{'start': 0, 'end': 73, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 73]}]}}}","[""Service Availability""]"
221,"overall everyone was very understanding and were patient with me. however, the department only allows calls to set appointments which is not easy for those with mental health issues/concerns. having an email system would be much more inviting. ","[{'start': 0, 'end': 65, 'aspects': ['General'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'General - Positive', 'Counseling Service - Positive']}, {'start': 66, 'end': 244, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Hotline Service - Suggestion']}]","{'aspect_set': ['General', 'Service Availability'], 'by_aspect': {'General': {'label': 'Positive', 'evidence': [{'span': [0, 65]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [66, 244]}]}}}","[""General"", ""Service Availability""]"
222,they only provide in person counseling which does not work for everyone’s schedule,"[{'start': 0, 'end': 82, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Negative', 'Counseling Service - Limitation', 'Counseling Service - Limitation']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [0, 82]}]}}}","[""Counseling Service""]"
223,"i love that there is an option of taking a mental health day as a student, it goes a long way. something that could be improved is the flexibility of the “mental health day” for students in a more fast paced programs(e.g nursing).","[{'start': 0, 'end': 94, 'aspects': ['Wellness Service'], 'sentiments': ['Positive'], 'raw_labels': ['Wellness Service - Positive', 'Wellness Service - Positive', 'General - Positive']}, {'start': 95, 'end': 230, 'aspects': [], 'sentiments': [], 'raw_labels': ['Service Availability - Suggestion', 'Mental Health Service - Suggestion', 'General - Suggestion']}]","{'aspect_set': ['Wellness Service'], 'by_aspect': {'Wellness Service': {'label': 'Positive', 'evidence': [{'span': [0, 94]}]}}}","[""Wellness Service""]"
224,"the programs in place are excellent, but there is a cost that some students are unable to pay. mental health services should be free or more discounted.","[{'start': 0, 'end': 36, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive', 'Mental Health Service - Positive']}, {'start': 37, 'end': 152, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Mental Health Service - Suggestion', 'Mental Health Service - Suggestion']}]","{'aspect_set': ['Mental Health Service', 'On-campus Service'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 36]}]}, 'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [37, 152]}]}}}","[""Mental Health Service"", ""On-campus Service""]"
225,need more counselors for the number of students. add a psychiatrist who can prescribe medications affordably. ,"[{'start': 0, 'end': 48, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Suggestion', 'Service Availability - Suggestion']}, {'start': 49, 'end': 109, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Suggestion', 'Therapy Service - Suggestion']}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [49, 109]}]}}}","[""Therapy Service""]"
226,"i think the on campus one is working well, but we’re not doing anything for our outreach centers (ie parsons) ","[{'start': 0, 'end': 42, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 43, 'end': 110, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['General - Negative', 'Service Availability - Suggestion', 'Service Availability - Negative']}]","{'aspect_set': ['On-campus Service', 'Service Availability'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 42]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [43, 110]}]}}}","[""On-campus Service"", ""Service Availability""]"
227,general attention should be increased for he availability of mental health services on campus. ,"[{'start': 0, 'end': 95, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Mental Health Service - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 95]}]}}}","[""Service Availability""]"
228,the therapists need to be trained better to deal with current student issues.,"[{'start': 0, 'end': 77, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Negative', 'Therapy Service - Suggestion', 'Therapy Service - Suggestion']}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [0, 77]}]}}}","[""Therapy Service""]"
229,"there is a lot of awareness about resources, but that awareness does not translate to accessibility. for example, the sails program is mentioned often by professors, tas, on-campus health staff, etc., but getting an appointment and getting accommodations approved takes weeks. ","[{'start': 45, 'end': 101, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Mental Health Service - Limitation', 'Service Availability - Negative']}, {'start': 0, 'end': 43, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Positive', 'On-campus Service - Positive']}, {'start': 101, 'end': 277, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [45, 101]}, {'span': [101, 277]}]}}}","[""Service Availability""]"
230,"i think the programs and people running it are nice and supportive. even online meetings feel beneficial. however, there should be more ""marketing"" or increase awareness of these resources. they need to normalize it more so that people who need help won't be scared to reach out.","[{'start': 0, 'end': 105, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['Wellness Service - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 106, 'end': 279, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Suggestion', 'On-campus Service - Suggestion']}]","{'aspect_set': ['On-campus Service'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 105]}]}}}","[""On-campus Service""]"
231,"i have received a medication evaluation and several counseling sessions, both of which seem to be going well. ","[{'start': 0, 'end': 109, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 109]}]}}}","[""Counseling Service""]"
232,i do not really know as i have not utilized this service from asu. i do however know that asu does a good job at advertising counseling as an option for students. i have had several friends talk to me about their experiences with asu counseling and that it is lackluster and they redirected them to people outside of the campus. it would be nice if they were trained to be able to deal with all issues.,"[{'start': 162, 'end': 328, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Negative', 'Counseling Service - Limitation', 'Counseling Service - Limitation']}, {'start': 329, 'end': 402, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Suggestion', 'Therapy Service - Suggestion']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [162, 328]}]}}}","[""Counseling Service""]"
233,"i think the on-call talks with social workers to get service or talk about the current struggles i may have at the moment. but, i wish there is more availability like a wider span of times and days. ","[{'start': 0, 'end': 123, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Suggestion', 'Hotline Service - Positive']}, {'start': 127, 'end': 199, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [127, 199]}]}}}","[""Service Availability""]"
236,"the services are good, but it can take a really long time to get an appointment","[{'start': 0, 'end': 21, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Positive', 'Mental Health Service - Positive', 'On-campus Service - Positive']}, {'start': 23, 'end': 79, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [23, 79]}]}}}","[""Service Availability""]"
237,"counseling services are offered by my college, but only a certain amount of therapy sessions are provided","[{'start': 0, 'end': 45, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 47, 'end': 105, 'aspects': [], 'sentiments': [], 'raw_labels': ['Therapy Service - Negative', 'Service Availability - Limitation']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 45]}]}}}","[""Counseling Service""]"
238,just communication. i am glad that the campus does tell us where and how to review counseling if needed. ,"[{'start': 0, 'end': 104, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_label': 'Counseling Service - Positive'}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 104]}]}}}","[""Counseling Service""]"
239,"ithink the staff are trying their best, but we need more staff.","[{'start': 0, 'end': 63, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Counseling Service - Positive', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 63]}]}}}","[""Service Availability""]"
240,"uf has a “u matter we care” that works well, but it takes a long time to get in ","[{'start': 0, 'end': 43, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'Mental Health Service - Positive', 'On-campus Service - Positive']}, {'start': 45, 'end': 80, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Limitation']}]","{'aspect_set': ['On-campus Service', 'Service Availability'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 43]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [45, 80]}]}}}","[""On-campus Service"", ""Service Availability""]"
241,the phone hotlines are very beneficial. i think doing more outreach in classes is important ,"[{'start': 0, 'end': 39, 'aspects': ['Hotline Service'], 'sentiments': ['Positive'], 'raw_labels': ['Hotline Service - Positive', 'Hotline Service - Positive', 'Hotline Service - Positive']}, {'start': 40, 'end': 92, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Hotline Service'], 'by_aspect': {'Hotline Service': {'label': 'Positive', 'evidence': [{'span': [0, 39]}]}}}","[""Hotline Service""]"
242,group therapy is working well. more individual appointments should be allotted to students,"[{'start': 0, 'end': 30, 'aspects': ['Therapy Service'], 'sentiments': ['Positive'], 'raw_labels': ['Therapy Service - Positive', 'Therapy Service - Positive', 'On-campus Service - Positive']}, {'start': 31, 'end': 90, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Counseling Service - Suggestion']}]","{'aspect_set': ['Service Availability', 'Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Positive', 'evidence': [{'span': [0, 30]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [31, 90]}]}}}","[""Service Availability"", ""Therapy Service""]"
243,they are good at advertising options but the counselors just listen and don’t really provide solutions ,"[{'start': 41, 'end': 103, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Negative', 'Counseling Service - Limitation', 'Counseling Service - Limitation']}, {'start': 0, 'end': 36, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Positive', 'On-campus Service - Positive']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [41, 103]}]}}}","[""Counseling Service""]"
244,their mental health center is alright as a whole but it needs more diversity ,"[{'start': 0, 'end': 48, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_label': 'Mental Health Service - Positive'}, {'start': 49, 'end': 76, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Suggestion'}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'MIXED', 'evidence': [{'span': [0, 48]}, {'span': [49, 76]}]}}}","[""Mental Health Service""]"
245,"it is easy to get in contact with mental health services, but recently when i was going through a little crisis i called and did not get much help and it seemed like they got anxious and didn’t know what to do or say and kind of went super textbook with responding to me like explaining to me how anxiety works and i was like i know i have it and just not really helping. another time freshman year i went to caps for help finding a therapist and they really didn’t give me many options that worked with my insurance so i took matters into my own hands and went through my insurance which was way easier and i found so many options","[{'start': 0, 'end': 57, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'Mental Health Service - Positive', 'Mental Health Service - Positive']}, {'start': 58, 'end': 371, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Counseling Service - Negative', 'Mental Health Service - Negative']}, {'start': 372, 'end': 631, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Negative', 'Therapy Service - Limitation', 'Mental Health Service - Negative']}]","{'aspect_set': ['Mental Health Service', 'Therapy Service'], 'by_aspect': {'Mental Health Service': {'label': 'MIXED', 'evidence': [{'span': [0, 57]}, {'span': [58, 371]}]}, 'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [372, 631]}]}}}","[""Mental Health Service"", ""Therapy Service""]"
